step,epoch,loss,eval_loss,learning_rate,grad_norm
280,0.5093224192814916,1.5472864151000976,,0.00018596091563349192,1.065792202949524
290,0.527512505684402,1.3775827407836914,,0.00018429649237604217,1.105126142501831
300,0.5457025920873124,1.3949487686157227,,0.0001825471896962774,1.1292502880096436
300,0.5457025920873124,,1.381005048751831,,
310,0.5638926784902228,1.3496803283691405,,0.00018071476899371414,1.0377607345581055
320,0.5820827648931333,1.3886149406433106,,0.00017880107536067218,1.1444631814956665
330,0.6002728512960437,1.4305959701538087,,0.00017680803572442318,1.093340277671814
340,0.6184629376989541,1.3908501625061036,,0.0001747376569069381,1.2190003395080566
350,0.6366530241018645,1.2549306869506835,,0.00017259202360418762,1.1015874147415161
360,0.654843110504775,1.3498773574829102,,0.00017037329628703004,1.1246832609176636
370,0.6730331969076853,1.3597527503967286,,0.00016808370902580036,1.1248201131820679
380,0.6912232833105957,1.3842921257019043,,0.00016572556724079056,1.1188561916351318
390,0.7094133697135061,1.2406649589538574,,0.00016330124538088705,0.9688977003097534
400,0.7276034561164165,1.3532224655151368,,0.00016106478796354382,0.8885322213172913
400,0.7276034561164165,,1.3363926410675049,,
410,0.745793542519327,1.3162211418151855,,0.00015852150225136518,1.0668635368347168
420,0.7639836289222374,1.2656545639038086,,0.0001559192903470747,1.1503117084503174
430,0.7821737153251478,1.300074863433838,,0.00015326077245747999,1.0074702501296997
440,0.8003638017280582,1.3232145309448242,,0.000150548625484743,1.298651099205017
450,0.8185538881309686,1.2860586166381835,,0.00014778558033096633,1.1106853485107422
460,0.836743974533879,1.3222491264343261,,0.0001449744191484066,1.1375645399093628
470,0.8549340609367895,1.2820293426513671,,0.00014211797253808268,1.194108486175537
480,0.8731241473396999,1.4159870147705078,,0.00013921911669960055,1.0403045415878296
490,0.8913142337426103,1.3304746627807618,,0.0001362807705350641,0.9757453799247742
500,0.9095043201455207,1.251784896850586,,0.00013330589270998808,1.206660509109497
500,0.9095043201455207,,1.3059055805206299,,
510,0.927694406548431,1.3138082504272461,,0.00013029747867417276,1.0618773698806763
520,0.9458844929513415,1.3636524200439453,,0.0001272585576455398,1.0881080627441406
530,0.9640745793542519,1.3696709632873536,,0.00012419218955996676,1.080342411994934
540,0.9822646657571623,1.2540821075439452,,0.000121101461990191,1.0660372972488403
550,1.0,1.312410259246826,,0.00011798948703688539,1.160717487335205
560,1.0181900864029103,1.0229658126831054,,0.00011485939819503717,1.3626618385314941
570,1.0363801728058208,1.1099054336547851,,0.00011171434719878384,1.2582021951675415
580,1.0545702592087312,1.0720270156860352,,0.00010855750084788398,1.1904969215393066
590,1.0727603456116417,1.115989589691162,,0.00010539203781901861,1.3005788326263428
600,1.090950432014552,1.049861526489258,,0.00010222114546513295,1.1961387395858765
600,1.090950432014552,,1.3037676811218262,,
610,1.1091405184174625,1.0837162971496581,,9.904801660604234e-05,1.4530060291290283
620,1.1273306048203728,1.0112058639526367,,9.587584631353329e-05,1.4405670166015625
630,1.1455206912232834,0.9307842254638672,,9.270782869419694e-05,1.2497082948684692
640,1.1637107776261937,1.108566665649414,,8.954715367323468e-05,1.2250235080718994
650,1.1819008640291042,0.9465375900268554,,8.639700378247361e-05,1.5551114082336426
660,1.2000909504320145,1.005796241760254,,8.326055095582694e-05,1.2390985488891602
670,1.218281036834925,0.9889089584350585,,8.014095333542548e-05,1.4130922555923462
680,1.2364711232378354,0.9541577339172364,,7.704135209163589e-05,1.392157793045044
690,1.2546612096407457,1.0077032089233398,,7.39648682601688e-05,1.3633103370666504
700,1.2728512960436562,1.0150309562683106,,7.09145995994601e-05,1.5960144996643066
700,1.2728512960436562,,1.291289210319519,,
710,1.2910413824465667,0.9939849853515625,,6.789361747149093e-05,1.6097466945648193
720,1.309231468849477,1.0210838317871094,,6.490496374918647e-05,1.3446965217590332
730,1.3274215552523874,1.056128692626953,,6.19516477535077e-05,1.5604760646820068
740,1.345611641655298,0.99069242477417,,5.9036643223320475e-05,1.2066737413406372
750,1.3638017280582082,0.9703648567199707,,5.616288532109225e-05,1.2955378293991089
760,1.3819918144611187,0.9534993171691895,,5.333326767743263e-05,1.2367091178894043
